feature,importance
bytes_per_second,0.1266049340683373
total_bytes,0.12287466576724385
port_diversity,0.11543995458301955
std_packet_size,0.11159998451976894
avg_packet_size,0.09475587284716804
packets_per_second,0.08187406789024491
total_packets,0.07808554313273444
syn_ack_ratio,0.07174077420226171
ack_count,0.06908115638443718
unique_dst_ports,0.047588887330653654
syn_count,0.029356644776493593
unique_src_ips,0.011630569710361032
unique_connections,0.010671965101983727
unique_dst_ips,0.01019020500986932
rst_count,0.009519935240431347
fin_count,0.008965761073676826
tcp_ratio,1.9078361314503798e-05
udp_ratio,0.0
icmp_ratio,0.0
